Model,TP,FN,FP,TN
M4-A10-B11-C3,998,2,966,34
M8-A11-B4-C9,902,98,864,136
M12-A1-B7-C2,944,56,711,289
M1-A10-B10-C8,295,705,218,782
M3-A3-B6-C7,960,40,589,411
M4-A9-B9-C9,705,295,395,605
M8-A4-B8-C1,422,578,367,633
M11-A3-B8-C2,954,46,829,171
M6-A8-B6-C7,948,52,789,211
M6-A11-B4-C6,890,110,287,713
M10-A8-B2-C10,966,34,680,320
M7-A1-B2-C10,966,34,46,954
M9-A11-B10-C2,811,189,418,582
M9-A9-B6-C1,939,61,410,590
M13-A5-B6-C1,905,95,852,148
M1-A8-B2-C5,987,13,466,534
M1-A7-B11-C1,977,23,975,25
M2-A11-B8-C4,436,564,167,833
M2-A7-B3-C2,959,41,329,671
M9-A3-B11-C2,283,717,77,923
M13-A2-B5-C2,809,191,580,420
M11-A10-B5-C9,978,22,919,81
M13-A11-B7-C1,948,52,904,96
M10-A5-B8-C10,643,357,419,581
M6-A5-B3-C6,855,145,790,210
M1-A6-B4-C4,935,65,528,472
M5-A8-B5-C12,417,583,217,783
M12-A1-B1-C7,71,929,70,930
M1-A1-B2-C6,807,193,275,725
M12-A2-B9-C4,910,90,342,658
M3-A1-B3-C4,506,494,138,862
M13-A10-B8-C8,975,25,51,949
M11-A10-B4-C11,95,905,61,939
M13-A10-B4-C5,817,183,773,227
M6-A1-B5-C9,927,73,819,181
M1-A7-B4-C6,918,82,546,454
M12-A2-B7-C11,663,337,246,754
M6-A11-B2-C6,383,617,312,688
M5-A4-B4-C1,949,51,844,156
M12-A6-B2-C3,923,77,895,105
M11-A5-B8-C4,753,247,687,313
M6-A9-B8-C7,739,261,98,902
M1-A10-B5-C2,984,16,655,345
M13-A2-B1-C11,517,483,203,797
M8-A11-B11-C8,983,17,966,34
M3-A1-B9-C4,721,279,338,662
M10-A4-B3-C1,392,608,175,825
M10-A5-B11-C2,984,16,977,23
M1-A2-B1-C4,515,485,501,499
M12-A2-B1-C10,890,110,744,256
M13-A10-B4-C11,964,36,847,153
M2-A7-B8-C6,207,793,187,813
M12-A7-B3-C3,791,209,510,490
M2-A3-B1-C6,877,123,784,216
M8-A8-B10-C3,811,189,419,581
M8-A11-B4-C12,452,548,230,770
M2-A5-B8-C1,668,332,71,929
M1-A6-B1-C4,893,107,638,362
M11-A7-B3-C8,478,522,250,750
M7-A4-B2-C9,745,255,592,408
M11-A8-B6-C9,970,30,943,57
M3-A6-B10-C12,398,602,28,972
M13-A3-B7-C12,992,8,819,181
M11-A8-B6-C4,847,153,595,405
M9-A6-B1-C2,915,85,431,569
M4-A9-B2-C7,979,21,897,103
M7-A3-B5-C10,675,325,406,594
M11-A9-B2-C3,890,110,742,258
M1-A3-B8-C1,417,583,145,855
M8-A9-B10-C9,711,289,529,471
M9-A11-B5-C5,956,44,786,214
M10-A4-B4-C9,707,293,523,477
M12-A4-B4-C5,947,53,778,222
M1-A9-B8-C5,754,246,669,331
M1-A6-B9-C8,440,560,156,844
M2-A4-B4-C1,740,260,475,525
M4-A9-B2-C8,337,663,244,756
M9-A1-B7-C1,919,81,269,731
M10-A11-B8-C10,913,87,877,123
M10-A10-B3-C2,918,82,224,776
M11-A3-B7-C7,904,96,18,982
M11-A2-B9-C2,889,111,296,704
M4-A7-B7-C12,441,559,401,599
M8-A3-B10-C5,616,384,307,693
M10-A1-B9-C9,994,6,629,371
M1-A3-B5-C9,893,107,778,222
M11-A2-B4-C8,968,32,638,362
M2-A5-B6-C7,792,208,787,213
M7-A9-B1-C6,537,463,46,954
M1-A10-B2-C11,373,627,136,864
M12-A3-B3-C1,971,29,615,385
M5-A8-B1-C9,655,345,180,820
M2-A11-B8-C1,331,669,120,880
M11-A5-B10-C7,570,430,120,880
M13-A7-B3-C12,569,431,567,433
M9-A5-B1-C3,917,83,862,138
M9-A2-B2-C5,836,164,710,290
M11-A2-B4-C11,741,259,695,305
M4-A7-B3-C4,825,175,501,499
M6-A2-B5-C8,890,110,445,555
M13-A1-B8-C9,923,77,798,202
M3-A6-B3-C4,766,234,650,350
M2-A11-B5-C12,858,142,672,328
M9-A10-B9-C1,782,218,401,599
M4-A2-B10-C7,962,38,376,624
M12-A4-B9-C5,449,551,318,682
M11-A5-B10-C5,779,221,714,286
M13-A5-B11-C2,901,99,444,556
M6-A1-B1-C11,828,172,617,383
M12-A8-B7-C3,915,85,851,149
M1-A5-B1-C1,993,7,952,48
M8-A1-B9-C1,906,94,855,145
M7-A10-B4-C9,884,116,662,338
M8-A9-B11-C4,744,256,383,617
M4-A5-B2-C11,762,238,247,753
M9-A9-B11-C6,923,77,867,133
M9-A9-B6-C10,821,179,376,624
M7-A3-B8-C12,175,825,115,885
M7-A11-B2-C2,946,54,626,374
M10-A2-B4-C11,922,78,728,272
M2-A2-B3-C12,812,188,612,388
M8-A6-B7-C9,919,81,315,685
M3-A5-B8-C3,857,143,333,667
M3-A8-B7-C12,779,221,742,258
M3-A9-B8-C2,286,714,126,874
M12-A7-B1-C6,835,165,527,473
M4-A7-B6-C10,788,212,442,558
M11-A8-B10-C2,852,148,237,763
M10-A11-B3-C7,296,704,268,732
M3-A11-B3-C2,973,27,799,201
M8-A3-B6-C5,974,26,960,40
M7-A10-B10-C11,885,115,737,263
M6-A2-B4-C4,876,124,11,989
M4-A9-B6-C8,747,253,625,375
M11-A2-B10-C11,663,337,470,530
M3-A9-B3-C7,804,196,361,639
M10-A7-B2-C7,709,291,338,662
M9-A9-B11-C4,959,41,784,216
M2-A3-B2-C1,762,238,450,550
M4-A8-B1-C11,551,449,434,566
M1-A7-B5-C4,983,17,811,189
M2-A5-B11-C8,918,82,800,200
M7-A10-B8-C12,959,41,789,211
M11-A8-B11-C4,760,240,487,513
M4-A6-B5-C10,298,702,2,998
M7-A10-B4-C2,510,490,370,630
M10-A1-B6-C4,552,448,94,906
M11-A2-B6-C6,921,79,909,91
M6-A7-B1-C4,377,623,366,634
M6-A10-B11-C6,784,216,724,276
M6-A8-B5-C3,678,322,571,429
M12-A10-B8-C11,155,845,62,938
M13-A11-B5-C8,960,40,916,84
M11-A4-B7-C4,277,723,110,890
M1-A4-B10-C6,701,299,663,337
M9-A8-B8-C5,983,17,641,359
M4-A9-B4-C3,928,72,922,78
M11-A11-B3-C7,712,288,493,507
M2-A6-B4-C1,872,128,828,172
M1-A4-B11-C12,577,423,31,969
M1-A3-B3-C12,964,36,941,59
M6-A7-B5-C10,632,368,593,407
M5-A6-B4-C11,277,723,154,846
M9-A6-B9-C3,822,178,21,979
M10-A1-B7-C4,891,109,277,723
M3-A11-B8-C7,892,108,176,824
M11-A5-B11-C9,695,305,388,612
M12-A1-B7-C12,845,155,502,498
M12-A10-B10-C2,995,5,954,46
M1-A6-B7-C6,790,210,427,573
M3-A11-B2-C1,869,131,507,493
M10-A3-B7-C1,865,135,780,220
M6-A9-B7-C4,731,269,425,575
M6-A5-B4-C11,881,119,755,245
M3-A2-B8-C5,871,129,862,138
M2-A11-B4-C4,779,221,449,551
M12-A4-B1-C3,358,642,278,722
M12-A7-B5-C10,862,138,856,144
M9-A5-B1-C11,388,612,47,953
M1-A5-B9-C12,915,85,912,88
M2-A3-B8-C8,998,2,900,100
M10-A4-B7-C9,979,21,949,51
M6-A8-B2-C6,747,253,697,303
M3-A3-B4-C8,298,702,170,830
M10-A9-B8-C3,918,82,124,876
M12-A7-B11-C8,875,125,634,366
M2-A7-B6-C9,349,651,60,940
M2-A4-B7-C10,892,108,413,587
M7-A9-B5-C1,888,112,374,626
M3-A9-B1-C1,143,857,122,878
M11-A5-B2-C2,937,63,793,207
M5-A8-B4-C10,874,126,529,471
M11-A6-B1-C6,972,28,961,39
M9-A8-B1-C11,920,80,882,118
M7-A1-B9-C3,810,190,784,216
M3-A2-B2-C6,517,483,86,914
M5-A4-B10-C3,782,218,653,347
M10-A3-B5-C6,857,143,219,781
M12-A10-B3-C12,611,389,303,697
M9-A7-B2-C10,919,81,828,172
M4-A9-B4-C2,355,645,22,978
M13-A3-B1-C8,421,579,417,583
M9-A3-B9-C12,877,123,710,290
M11-A5-B5-C11,988,12,432,568
M8-A6-B4-C10,919,81,713,287
M12-A7-B5-C6,911,89,459,541
M12-A11-B7-C8,803,197,35,965
M9-A10-B2-C2,146,854,121,879
M12-A2-B10-C2,139,861,40,960
M10-A4-B6-C2,871,129,504,496
M12-A7-B3-C5,956,44,787,213
M1-A3-B4-C11,797,203,746,254
M11-A4-B4-C6,976,24,856,144
M6-A1-B3-C4,825,175,623,377
M13-A11-B1-C8,948,52,809,191
M7-A5-B4-C11,490,510,329,671
M1-A6-B8-C10,916,84,908,92
M9-A10-B11-C2,992,8,979,21
M10-A5-B6-C10,587,413,117,883
M6-A4-B6-C9,772,228,734,266
M10-A4-B4-C10,717,283,574,426
M6-A4-B11-C11,462,538,286,714
M12-A4-B9-C9,962,38,906,94
M11-A1-B10-C12,824,176,628,372
M1-A7-B2-C8,915,85,4,996
M12-A1-B1-C8,879,121,229,771
M6-A6-B3-C12,915,85,703,297
M7-A2-B4-C7,976,24,97,903
M5-A3-B4-C1,805,195,158,842
M7-A11-B8-C7,390,610,114,886
M8-A2-B9-C3,632,368,554,446
M6-A9-B1-C7,998,2,384,616
M13-A7-B7-C8,703,297,499,501
M13-A9-B2-C3,976,24,828,172
M2-A7-B7-C5,900,100,146,854
M8-A6-B5-C4,884,116,41,959
M3-A11-B5-C9,909,91,771,229
M4-A4-B7-C8,941,59,118,882
M3-A1-B10-C3,684,316,193,807
M1-A9-B8-C11,692,308,245,755
M2-A9-B8-C10,821,179,316,684
M8-A10-B10-C1,920,80,861,139
M9-A10-B4-C4,619,381,559,441
M3-A8-B2-C8,493,507,467,533
M8-A2-B4-C11,768,232,309,691
M5-A2-B8-C5,605,395,156,844
M5-A1-B2-C4,967,33,752,248
M7-A2-B8-C2,424,576,196,804
M3-A9-B3-C2,256,744,204,796
M8-A5-B7-C11,823,177,804,196
M13-A3-B8-C8,504,496,409,591
M12-A9-B6-C7,943,57,929,71
M10-A7-B6-C6,665,335,488,512
M2-A1-B5-C7,923,77,446,554
M7-A6-B5-C11,864,136,633,367
M9-A4-B4-C7,962,38,689,311
M7-A11-B6-C11,641,359,285,715
M12-A6-B1-C8,909,91,906,94
M5-A2-B3-C6,966,34,964,36
M1-A6-B11-C12,648,352,608,392
M6-A2-B1-C5,981,19,674,326
M3-A8-B11-C8,975,25,946,54
M1-A11-B10-C5,943,57,846,154
M2-A2-B1-C10,284,716,217,783
M11-A11-B8-C10,244,756,190,810
M5-A5-B6-C2,993,7,929,71
M9-A4-B5-C1,642,358,533,467
M10-A5-B4-C6,502,498,1,999
M4-A11-B11-C8,642,358,223,777
M9-A7-B5-C6,652,348,164,836
M8-A5-B8-C11,999,1,998,2
M5-A5-B4-C9,736,264,648,352
M11-A8-B11-C7,596,404,230,770
M13-A1-B5-C10,985,15,806,194
M13-A6-B7-C10,932,68,229,771
M10-A8-B3-C11,865,135,783,217
M3-A8-B6-C9,478,522,334,666
M2-A5-B11-C12,927,73,907,93
M8-A11-B2-C5,428,572,223,777
M4-A6-B10-C9,183,817,143,857
M13-A7-B6-C10,809,191,637,363
M10-A8-B6-C9,683,317,478,522
M4-A3-B6-C3,926,74,862,138
M3-A7-B4-C11,911,89,856,144
M4-A4-B2-C12,865,135,743,257
M4-A6-B1-C10,840,160,427,573
M7-A3-B5-C6,914,86,641,359
M13-A6-B5-C8,619,381,213,787
M2-A6-B5-C6,816,184,779,221
M8-A4-B7-C1,978,22,898,102
M7-A9-B7-C10,371,629,332,668
M11-A8-B3-C2,956,44,695,305
M5-A11-B11-C5,974,26,895,105
M11-A5-B3-C5,753,247,362,638
M9-A9-B4-C6,473,527,344,656
M12-A1-B7-C5,963,37,599,401
M3-A9-B6-C9,862,138,493,507
M4-A7-B9-C2,448,552,290,710
M5-A1-B3-C12,875,125,841,159
M8-A9-B7-C11,972,28,927,73
M8-A8-B8-C1,329,671,231,769
M3-A8-B3-C12,969,31,919,81
M9-A5-B8-C5,693,307,546,454
M9-A6-B7-C11,937,63,631,369
M5-A11-B7-C2,374,626,172,828
M11-A10-B9-C1,399,601,276,724
M3-A6-B4-C5,285,715,84,916
M11-A1-B10-C2,661,339,582,418
M2-A5-B9-C6,904,96,741,259
M6-A5-B1-C2,793,207,678,322
M13-A4-B11-C3,884,116,731,269
M4-A10-B10-C5,734,266,175,825
M5-A8-B2-C7,995,5,967,33
M3-A2-B3-C7,777,223,598,402
M7-A5-B5-C12,867,133,414,586
M13-A2-B6-C5,896,104,149,851
M7-A3-B7-C6,980,20,977,23
M7-A1-B1-C7,866,134,586,414
M3-A3-B4-C5,983,17,594,406
M10-A11-B9-C10,559,441,354,646
M11-A4-B6-C10,513,487,493,507
M11-A1-B1-C12,859,141,219,781
M7-A8-B11-C12,291,709,171,829
M1-A5-B7-C4,754,246,250,750
M7-A5-B9-C6,532,468,421,579
M4-A1-B10-C5,340,660,163,837
M6-A3-B7-C11,900,100,838,162
M7-A10-B5-C4,694,306,482,518
M7-A3-B4-C10,761,239,698,302
M5-A1-B5-C12,521,479,158,842
M8-A9-B3-C3,967,33,870,130
M5-A11-B7-C5,990,10,931,69
M11-A5-B9-C1,810,190,669,331
M4-A11-B8-C9,985,15,964,36
M5-A5-B2-C10,575,425,529,471
M3-A9-B5-C6,376,624,1,999
M6-A2-B9-C6,660,340,164,836
M5-A6-B1-C2,488,512,223,777
M2-A7-B1-C12,993,7,688,312
M8-A2-B6-C9,847,153,632,368
M10-A7-B4-C12,808,192,618,382
M9-A3-B4-C7,774,226,560,440
M13-A2-B6-C7,836,164,801,199
M8-A4-B3-C8,351,649,205,795
M6-A1-B8-C7,572,428,456,544
M4-A1-B3-C9,984,16,947,53
M5-A10-B9-C2,280,720,56,944
M3-A2-B2-C1,436,564,151,849
M11-A2-B4-C5,932,68,788,212
M9-A9-B3-C3,793,207,579,421
M5-A6-B7-C9,792,208,786,214
M9-A2-B7-C4,855,145,830,170
M12-A7-B3-C11,675,325,441,559
M7-A6-B5-C8,972,28,724,276
M5-A9-B4-C4,417,583,332,668
M6-A9-B8-C10,844,156,435,565
M8-A8-B6-C1,538,462,473,527
M3-A4-B8-C6,410,590,10,990
M4-A4-B3-C7,936,64,421,579
M10-A3-B5-C3,851,149,371,629
M1-A10-B1-C10,369,631,15,985
M9-A11-B5-C6,526,474,29,971
M9-A1-B11-C6,814,186,46,954
M6-A7-B7-C11,956,44,628,372
M7-A4-B10-C6,658,342,438,562
M6-A6-B7-C4,431,569,427,573
M4-A5-B9-C5,941,59,402,598
M5-A7-B9-C9,981,19,980,20
M11-A8-B5-C11,957,43,896,104
M7-A3-B9-C9,982,18,567,433
M5-A10-B8-C1,949,51,720,280
M12-A11-B2-C12,996,4,361,639
M7-A8-B4-C3,350,650,114,886
M6-A4-B9-C2,708,292,222,778
M3-A1-B1-C3,992,8,977,23
M6-A2-B3-C6,938,62,371,629
M2-A4-B4-C4,934,66,511,489
M5-A6-B2-C8,947,53,819,181
M10-A9-B2-C6,841,159,251,749
M1-A9-B6-C8,880,120,622,378
M9-A5-B10-C1,873,127,868,132
M4-A2-B7-C7,992,8,835,165
M3-A9-B1-C4,891,109,497,503
M5-A8-B8-C7,886,114,824,176
M3-A11-B8-C2,449,551,348,652
M6-A5-B6-C5,659,341,78,922
M4-A6-B3-C8,676,324,669,331
M12-A2-B1-C7,985,15,868,132
M11-A6-B2-C10,936,64,828,172
M5-A5-B7-C5,964,36,796,204
M10-A1-B11-C2,918,82,136,864
M9-A3-B1-C8,925,75,919,81
M6-A3-B11-C6,448,552,225,775
M2-A3-B11-C4,857,143,454,546
M2-A3-B10-C5,593,407,325,675
M1-A4-B8-C8,476,524,103,897
M11-A3-B5-C8,888,112,522,478
M9-A10-B2-C7,303,697,102,898
M4-A9-B10-C1,979,21,919,81
M1-A10-B7-C7,833,167,560,440
M7-A10-B8-C6,865,135,312,688
M5-A5-B10-C1,977,23,309,691
M2-A6-B10-C5,477,523,199,801
M4-A11-B5-C2,971,29,884,116
M3-A1-B9-C5,770,230,275,725
M11-A3-B1-C9,936,64,904,96
M11-A1-B5-C2,976,24,656,344
M11-A7-B1-C5,782,218,394,606
M8-A2-B10-C9,577,423,559,441
M2-A10-B3-C8,987,13,960,40
M6-A7-B5-C3,972,28,968,32
M8-A10-B2-C2,919,81,253,747
M4-A1-B10-C1,820,180,659,341
M13-A1-B4-C9,774,226,533,467
M8-A10-B5-C7,510,490,132,868
M10-A6-B1-C7,974,26,561,439
M10-A4-B5-C7,694,306,89,911
M9-A5-B11-C5,496,504,258,742
M8-A5-B3-C3,491,509,314,686
M11-A6-B11-C1,919,81,803,197
M5-A8-B6-C4,939,61,378,622
M5-A11-B11-C8,934,66,865,135
M3-A8-B11-C7,456,544,453,547
M6-A9-B3-C5,997,3,438,562
M13-A2-B5-C10,894,106,806,194
M13-A6-B10-C6,813,187,780,220
M9-A5-B4-C8,717,283,369,631
M10-A3-B5-C9,917,83,606,394
M9-A6-B8-C2,878,122,389,611
M10-A3-B4-C8,975,25,317,683
M11-A6-B6-C10,185,815,26,974
M4-A9-B3-C4,902,98,747,253
M9-A4-B4-C11,864,136,167,833
M4-A8-B3-C5,803,197,736,264
M8-A6-B9-C10,912,88,766,234
M4-A10-B7-C5,110,890,56,944
M5-A5-B9-C6,852,148,539,461
M4-A1-B7-C8,939,61,825,175
M4-A4-B9-C9,602,398,232,768
M10-A9-B7-C10,982,18,866,134
M4-A7-B11-C6,854,146,674,326
M10-A3-B9-C6,892,108,699,301
M11-A2-B10-C12,554,446,75,925
M7-A2-B5-C8,522,478,371,629
M3-A3-B2-C9,846,154,369,631
M10-A11-B5-C8,477,523,207,793
M13-A6-B5-C4,785,215,610,390
M9-A7-B1-C5,885,115,813,187
M5-A2-B2-C8,766,234,349,651
M11-A8-B1-C8,812,188,323,677
